Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Inch,Lbs,Pos,College
Dusty Hannahs,36,24.8,14.4,1.7,1.2,0.4,0.1,1.7,0.439,0.908,0.387,75,210,G,University of Arkansas
Daryl Macon,36,25.2,13.4,2.6,2.2,1.1,0.1,1.8,0.453,0.866,0.387,75,185,G,University of Arkansas
Jaylen Barford,36,25.4,12.8,3.8,2,1.2,0.2,2,0.438,0.752,0.266,75,202,G,University of Arkansas
Moses Kingsley,36,27.7,12,7.7,1.4,0.6,2.6,1.9,0.467,0.757,0.438,82,230,F,University of Arkansas
Anton Beard,36,21,7.2,2.1,1.9,1.1,0,1,0.404,0.747,0.356,72,185,G,University of Arkansas
Manuale Watkins,36,22.3,6,4,1.8,1.3,0,0.6,0.564,0.567,0.464,75,222,G,University of Arkansas
Dustin Thomas,36,18,5.3,3.8,1.1,0.6,0.3,1,0.486,0.657,0.2,80,225,F,University of Arkansas
Arlando Cook,36,11.3,2.8,2.3,0.3,0.3,0.4,0.6,0.438,0.649,0,80,215,F,University of Arkansas
C.J. Jones,21,6,2.4,0.6,0.3,0,0.2,0.2,0.472,0.714,0.5,77,175,G,University of Arkansas
Trey Thompson,36,14,2.4,3.3,1.6,0.6,0.8,0.6,0.618,0.655,0,81,265,F,University of Arkansas
Adrio Bailey,27,7.4,1.9,1.3,0.3,0.5,0.3,0.4,0.564,0.316,0,79,217,F,University of Arkansas
Jonathan Holmes,6,1.2,0.3,0.2,0,0,0,0,0.2,0,0,70,190,G,University of Arkansas
Brachen Hazen,14,3,0.2,0.9,0.1,0,0,0.3,0.167,0.25,0,80,215,F,University of Arkansas
Mustapha Heron,32,28.2,15.2,6.1,1.3,0.8,0.2,2.4,0.442,0.77,0.423,77,218,G,Auburn University
Danjel Purifoy,29,28.7,11.5,4.7,1.8,1.4,0.2,1.6,0.398,0.879,0.369,79,230,F,Auburn University
Jared Harper,32,24.2,11.4,1.9,3,1.2,0.1,1.5,0.385,0.705,0.344,70,170,G,Auburn University
Austin Wiley,23,18,8.8,4.7,0.2,0.2,1.3,1.8,0.584,0.491,0,83,260,C,Auburn University
T.J. Dunans,31,24.3,8.2,3.5,2.5,1,0.7,2.3,0.387,0.547,0.208,77,187,G,Auburn University
Ronnie Johnson,32,16.4,7.8,1.8,2.3,0.7,0,1.2,0.433,0.717,0.379,72,180,G,Auburn University
Bryce Brown,28,21.1,7.5,2,1.3,1,0.2,0.9,0.36,0.667,0.4,75,198,G,Auburn University
Anfernee McLemore,32,15.1,5.4,4.5,0.2,0.4,1.2,0.9,0.683,0.603,1,79,220,F,Auburn University
Horace Spencer,19,16.3,4.8,3.4,0.5,0.7,1.5,0.9,0.561,0.5,0,80,225,F,Auburn University
TJ Lang,29,16.4,4.3,1.8,0.5,0.3,0.1,0.6,0.398,0.667,0.395,79,210,G,Auburn University
LaRon Smith,24,12,2.6,2.4,0.3,0.3,1,0.7,0.533,0.517,0,80,215,F,Auburn University
Will Macoy,4,1.8,2,0.3,0,0.3,0,0,0.5,0,0.4,76,190,G,Auburn University
Patrick Keim,5,1.6,0.8,0.6,0.4,0,0,0.2,0.333,0.5,0.5,72,186,G,Auburn University
Devin Waddell,11,6.8,0.6,0.5,0.3,0,0,0.3,0.333,0.333,0.5,77,227,G,Auburn University
Cole Blackstock,3,1.3,0,0.7,0,0,0,0,0,0,0,81,260,F,Auburn University
Trey Tate,2,2,0,0,0,0,0,0,0,0,0,78,230,F,Auburn University
Mike Cohen,2,2,0,0,0.5,0,0,0,0,0,0,70,175,G,Auburn University
Jerome Robinson,32,34,18.7,3.9,3.4,1.7,0.4,3.2,0.423,0.722,0.333,78,191,G,Boston College
Ky Bowman,32,28.8,14.3,4.8,2.9,1.2,0.1,2.9,0.492,0.712,0.449,73,188,G,Boston College
Jordan Chatman,32,24.8,8.6,2.2,1.1,0.6,0.2,1.1,0.418,0.913,0.417,77,200,G,Boston College
A.J. Turner,32,30.8,8.4,3.3,3,0.6,0.2,1,0.424,0.675,0.374,79,188,F,Boston College
Nik Popovic,29,13.8,6.1,3.5,0.4,0.1,0.3,1,0.488,0.531,0.294,83,243,F,Boston College
